,task,ns_seq_ind,rep,w1
0,coffee-button-v2,0,0,0.08012385578505123
0,coffee-button-v2,0,1,0.08012385581001372
0,coffee-button-v2,0,2,0.08012385579913647
0,coffee-button-v2,0,3,0.08012385579674007
0,coffee-button-v2,0,4,0.08012385837989722
0,coffee-button-v2,0,5,0.08012385580483034
0,coffee-button-v2,0,6,0.08012385578771296
0,coffee-button-v2,0,7,0.08012385579728197
0,coffee-button-v2,0,8,0.08012385579242816
0,coffee-button-v2,0,9,0.08012385579853346
0,coffee-button-v2,5000,0,0.23092412563266984
0,coffee-button-v2,5000,1,0.2299286730336044
0,coffee-button-v2,5000,2,0.23035258112618892
0,coffee-button-v2,5000,3,0.23045375618111777
0,coffee-button-v2,5000,4,0.23044816152726538
0,coffee-button-v2,5000,5,0.2303133345414872
0,coffee-button-v2,5000,6,0.22972912469454643
0,coffee-button-v2,5000,7,0.23017229211971943
0,coffee-button-v2,5000,8,0.23067115339073832
0,coffee-button-v2,5000,9,0.22988942698598933
0,coffee-button-v2,10000,0,0.4329312371313165
0,coffee-button-v2,10000,1,0.43114005267496286
0,coffee-button-v2,10000,2,0.43201709896975093
0,coffee-button-v2,10000,3,0.43250217802905117
0,coffee-button-v2,10000,4,0.4323010210888147
0,coffee-button-v2,10000,5,0.4319222522483192
0,coffee-button-v2,10000,6,0.43056807325180346
0,coffee-button-v2,10000,7,0.43251505947816044
0,coffee-button-v2,10000,8,0.43358513280565025
0,coffee-button-v2,10000,9,0.43134924115314094
0,coffee-button-v2,15000,0,0.6289155082438077
0,coffee-button-v2,15000,1,0.6282835900658119
0,coffee-button-v2,15000,2,0.6307964955213451
0,coffee-button-v2,15000,3,0.6304243634041646
0,coffee-button-v2,15000,4,0.6306505050448086
0,coffee-button-v2,15000,5,0.630575359792754
0,coffee-button-v2,15000,6,0.6290519252167516
0,coffee-button-v2,15000,7,0.6299136074375975
0,coffee-button-v2,15000,8,0.6305631375695214
0,coffee-button-v2,15000,9,0.6303478857183692
0,coffee-button-v2,20000,0,0.7987844790154507
0,coffee-button-v2,20000,1,0.7997569229865743
0,coffee-button-v2,20000,2,0.8003261713987624
0,coffee-button-v2,20000,3,0.7999587147379636
0,coffee-button-v2,20000,4,0.7997049791813968
0,coffee-button-v2,20000,5,0.800464255573384
0,coffee-button-v2,20000,6,0.7972301975700863
0,coffee-button-v2,20000,7,0.7976507274690149
0,coffee-button-v2,20000,8,0.8000794660828158
0,coffee-button-v2,20000,9,0.7997968280104111
0,coffee-button-v2,25000,0,0.9946229334421013
0,coffee-button-v2,25000,1,0.995240123122373
0,coffee-button-v2,25000,2,0.9936551825058443
0,coffee-button-v2,25000,3,0.9961676878864764
0,coffee-button-v2,25000,4,0.9946037161152311
0,coffee-button-v2,25000,5,0.9940074840127918
0,coffee-button-v2,25000,6,0.9915657026489073
0,coffee-button-v2,25000,7,0.9954427494286825
0,coffee-button-v2,25000,8,0.9963178752675566
0,coffee-button-v2,25000,9,0.9951679858241561
0,coffee-button-v2,30000,0,1.1981604679594648
0,coffee-button-v2,30000,1,1.1942805973401247
0,coffee-button-v2,30000,2,1.195133270197779
0,coffee-button-v2,30000,3,1.1975312256050943
0,coffee-button-v2,30000,4,1.196090663592918
0,coffee-button-v2,30000,5,1.1941716443298678
0,coffee-button-v2,30000,6,1.192344864441369
0,coffee-button-v2,30000,7,1.1928549464235727
0,coffee-button-v2,30000,8,1.196740710034735
0,coffee-button-v2,30000,9,1.1961011315044963
0,coffee-button-v2,35000,0,1.3862527029386684
0,coffee-button-v2,35000,1,1.3849644913076167
0,coffee-button-v2,35000,2,1.386470306156695
0,coffee-button-v2,35000,3,1.3867332094708555
0,coffee-button-v2,35000,4,1.3841499854598631
0,coffee-button-v2,35000,5,1.3861967045082502
0,coffee-button-v2,35000,6,1.3785318332273304
0,coffee-button-v2,35000,7,1.3806695459526588
0,coffee-button-v2,35000,8,1.3845483850813898
0,coffee-button-v2,35000,9,1.381329596075307
0,coffee-button-v2,40000,0,1.5867361964820554
0,coffee-button-v2,40000,1,1.5867092694700846
0,coffee-button-v2,40000,2,1.5889178069419956
0,coffee-button-v2,40000,3,1.5924202225786035
0,coffee-button-v2,40000,4,1.590557659309796
0,coffee-button-v2,40000,5,1.5878077200463547
0,coffee-button-v2,40000,6,1.5811729676900401
0,coffee-button-v2,40000,7,1.5835171887651327
0,coffee-button-v2,40000,8,1.5946258765104897
0,coffee-button-v2,40000,9,1.5845648692607228
0,coffee-button-v2,45000,0,1.7955647787978857
0,coffee-button-v2,45000,1,1.7943617823098954
0,coffee-button-v2,45000,2,1.8009766259605258
0,coffee-button-v2,45000,3,1.8000328326644317
0,coffee-button-v2,45000,4,1.7986787553958672
0,coffee-button-v2,45000,5,1.7981636319380538
0,coffee-button-v2,45000,6,1.7976464751508199
0,coffee-button-v2,45000,7,1.7973826151647385
0,coffee-button-v2,45000,8,1.7948242661613483
0,coffee-button-v2,45000,9,1.7923511867106734
0,coffee-button-v2,50000,0,1.9886776984010524
0,coffee-button-v2,50000,1,1.9924148202936083
0,coffee-button-v2,50000,2,1.989430505458103
0,coffee-button-v2,50000,3,1.9908002867517087
0,coffee-button-v2,50000,4,1.9893677657534967
0,coffee-button-v2,50000,5,1.9898723933152243
0,coffee-button-v2,50000,6,1.985526030174576
0,coffee-button-v2,50000,7,1.9798905801240778
0,coffee-button-v2,50000,8,1.9918076020539162
0,coffee-button-v2,50000,9,1.9925453929342072
0,coffee-button-v2,55000,0,2.1731116811227826
0,coffee-button-v2,55000,1,2.1756380330495757
0,coffee-button-v2,55000,2,2.1779125925847653
0,coffee-button-v2,55000,3,2.175436580575109
0,coffee-button-v2,55000,4,2.169631236345439
0,coffee-button-v2,55000,5,2.1737462656529325
0,coffee-button-v2,55000,6,2.1687131571307803
0,coffee-button-v2,55000,7,2.1796788610878233
0,coffee-button-v2,55000,8,2.182456215478558
0,coffee-button-v2,55000,9,2.1709498294428538
0,coffee-button-v2,60000,0,2.3839727272900597
0,coffee-button-v2,60000,1,2.377052117500143
0,coffee-button-v2,60000,2,2.384557198187123
0,coffee-button-v2,60000,3,2.3897611057636023
0,coffee-button-v2,60000,4,2.3830817594191194
0,coffee-button-v2,60000,5,2.378171950709817
0,coffee-button-v2,60000,6,2.3852189264045007
0,coffee-button-v2,60000,7,2.374086433635443
0,coffee-button-v2,60000,8,2.3840457272673197
0,coffee-button-v2,60000,9,2.380823530280524
0,coffee-button-v2,65000,0,2.5564667625835296
0,coffee-button-v2,65000,1,2.557258793546936
0,coffee-button-v2,65000,2,2.565767282166092
0,coffee-button-v2,65000,3,2.564937563945633
0,coffee-button-v2,65000,4,2.5499707260325835
0,coffee-button-v2,65000,5,2.55842728139071
0,coffee-button-v2,65000,6,2.55057621667217
0,coffee-button-v2,65000,7,2.556990859397007
0,coffee-button-v2,65000,8,2.5609296888490474
0,coffee-button-v2,65000,9,2.547598746756711
0,coffee-button-v2,70000,0,2.7443244821694694
0,coffee-button-v2,70000,1,2.7476382541999236
0,coffee-button-v2,70000,2,2.7499727109697276
0,coffee-button-v2,70000,3,2.756230123948964
0,coffee-button-v2,70000,4,2.7474392657060243
0,coffee-button-v2,70000,5,2.740737012099114
0,coffee-button-v2,70000,6,2.743177410729146
0,coffee-button-v2,70000,7,2.741058051705441
0,coffee-button-v2,70000,8,2.764133513889569
0,coffee-button-v2,70000,9,2.74793384768172
0,coffee-button-v2,75000,0,2.949113199052975
0,coffee-button-v2,75000,1,2.9506035212673694
0,coffee-button-v2,75000,2,2.9509028970793167
0,coffee-button-v2,75000,3,2.946574128558054
0,coffee-button-v2,75000,4,2.942280576280667
0,coffee-button-v2,75000,5,2.954971964196524
0,coffee-button-v2,75000,6,2.9569913132343735
0,coffee-button-v2,75000,7,2.9506396785832485
0,coffee-button-v2,75000,8,2.9461834819177763
0,coffee-button-v2,75000,9,2.9406337535826004
0,coffee-button-v2,80000,0,3.1404277266807195
0,coffee-button-v2,80000,1,3.142404112311705
0,coffee-button-v2,80000,2,3.1371873629210714
0,coffee-button-v2,80000,3,3.1402270231923617
0,coffee-button-v2,80000,4,3.147899178715033
0,coffee-button-v2,80000,5,3.1407281009878636
0,coffee-button-v2,80000,6,3.150264774825721
0,coffee-button-v2,80000,7,3.1296608241715327
0,coffee-button-v2,80000,8,3.1456913570538028
0,coffee-button-v2,80000,9,3.1424797744051793
0,coffee-button-v2,85000,0,3.317435089007788
0,coffee-button-v2,85000,1,3.320163833710391
0,coffee-button-v2,85000,2,3.329787507563669
0,coffee-button-v2,85000,3,3.31628371825476
0,coffee-button-v2,85000,4,3.3169039111327687
0,coffee-button-v2,85000,5,3.319555400018702
0,coffee-button-v2,85000,6,3.3125319856613125
0,coffee-button-v2,85000,7,3.3234971257656403
0,coffee-button-v2,85000,8,3.3272024420463504
0,coffee-button-v2,85000,9,3.307313292724072
0,coffee-button-v2,90000,0,3.5113048532188116
0,coffee-button-v2,90000,1,3.5035240643646914
0,coffee-button-v2,90000,2,3.5119563720477966
0,coffee-button-v2,90000,3,3.5220852870037267
0,coffee-button-v2,90000,4,3.518695032212581
0,coffee-button-v2,90000,5,3.5102989990018147
0,coffee-button-v2,90000,6,3.514649510411978
0,coffee-button-v2,90000,7,3.5051562066696476
0,coffee-button-v2,90000,8,3.5147593878736663
0,coffee-button-v2,90000,9,3.4995813936211877
0,coffee-button-v2,95000,0,3.6628797762309713
0,coffee-button-v2,95000,1,3.66768791016566
0,coffee-button-v2,95000,2,3.6765864800215438
0,coffee-button-v2,95000,3,3.666944303974541
0,coffee-button-v2,95000,4,3.6666856512199537
0,coffee-button-v2,95000,5,3.6703326626034913
0,coffee-button-v2,95000,6,3.6648823630448866
0,coffee-button-v2,95000,7,3.669398341379832
0,coffee-button-v2,95000,8,3.6634777953764175
0,coffee-button-v2,95000,9,3.6620984522774753
0,coffee-button-v2,100000,0,3.858317943277057
0,coffee-button-v2,100000,1,3.864854842205334
0,coffee-button-v2,100000,2,3.8726089987792602
0,coffee-button-v2,100000,3,3.8754374652199095
0,coffee-button-v2,100000,4,3.867182863784355
0,coffee-button-v2,100000,5,3.86594650938582
0,coffee-button-v2,100000,6,3.8621546889965424
0,coffee-button-v2,100000,7,3.8655475736450065
0,coffee-button-v2,100000,8,3.880172002975171
0,coffee-button-v2,100000,9,3.86622417083518
0,dial-turn-v2,0,0,0.15119969294786043
0,dial-turn-v2,0,1,0.18666346853426435
0,dial-turn-v2,0,2,0.18557535810631298
0,dial-turn-v2,0,3,0.1708934237086822
0,dial-turn-v2,0,4,0.17422738408870886
0,dial-turn-v2,0,5,0.13926311085104628
0,dial-turn-v2,0,6,0.15334811101851506
0,dial-turn-v2,0,7,0.13968100576574236
0,dial-turn-v2,0,8,0.14530731197529656
0,dial-turn-v2,0,9,0.14171910681752856
0,dial-turn-v2,5000,0,0.28246182022575866
0,dial-turn-v2,5000,1,0.4227764006508166
0,dial-turn-v2,5000,2,0.3185950868412887
0,dial-turn-v2,5000,3,0.2833810658213073
0,dial-turn-v2,5000,4,0.39389546318126956
0,dial-turn-v2,5000,5,0.37551895887442904
0,dial-turn-v2,5000,6,0.3205028726914608
0,dial-turn-v2,5000,7,0.3771305426509462
0,dial-turn-v2,5000,8,0.2885713270941987
0,dial-turn-v2,5000,9,0.44799115382911436
0,dial-turn-v2,10000,0,0.43244393912966594
0,dial-turn-v2,10000,1,0.45572834519129407
0,dial-turn-v2,10000,2,0.43245444498595853
0,dial-turn-v2,10000,3,0.56053511361428
0,dial-turn-v2,10000,4,0.5049945871267749
0,dial-turn-v2,10000,5,0.614084001923097
0,dial-turn-v2,10000,6,0.5090412830250569
0,dial-turn-v2,10000,7,0.5321688853065718
0,dial-turn-v2,10000,8,0.5392128073173934
0,dial-turn-v2,10000,9,0.43183589479866724
0,dial-turn-v2,15000,0,0.6862431630058964
0,dial-turn-v2,15000,1,0.6884354982845267
0,dial-turn-v2,15000,2,0.6605186637213173
0,dial-turn-v2,15000,3,0.7270338533489566
0,dial-turn-v2,15000,4,0.7296881583378358
0,dial-turn-v2,15000,5,0.6419052794690963
0,dial-turn-v2,15000,6,0.6747144893640447
0,dial-turn-v2,15000,7,0.7476300594261454
0,dial-turn-v2,15000,8,0.7145430963451014
0,dial-turn-v2,15000,9,0.6224293361250591
0,dial-turn-v2,20000,0,0.824612013590495
0,dial-turn-v2,20000,1,0.7995616844261939
0,dial-turn-v2,20000,2,0.8180493022170635
0,dial-turn-v2,20000,3,0.8233901557196562
0,dial-turn-v2,20000,4,0.8258339724356395
0,dial-turn-v2,20000,5,0.8308054693857787
0,dial-turn-v2,20000,6,0.8307463478633021
0,dial-turn-v2,20000,7,0.9523748983378562
0,dial-turn-v2,20000,8,0.9275187268990035
0,dial-turn-v2,20000,9,0.8239651158194564
0,dial-turn-v2,25000,0,1.013012477472128
0,dial-turn-v2,25000,1,1.1344229796391174
0,dial-turn-v2,25000,2,1.115096755635261
0,dial-turn-v2,25000,3,1.124302720389831
0,dial-turn-v2,25000,4,1.0812077198239565
0,dial-turn-v2,25000,5,1.1342692832591434
0,dial-turn-v2,25000,6,1.0385659525703743
0,dial-turn-v2,25000,7,1.0574004942237067
0,dial-turn-v2,25000,8,1.0898929016151722
0,dial-turn-v2,25000,9,1.078549002239035
0,dial-turn-v2,30000,0,1.214863316466102
0,dial-turn-v2,30000,1,1.2520915616705988
0,dial-turn-v2,30000,2,1.204846558775483
0,dial-turn-v2,30000,3,1.2386007863025421
0,dial-turn-v2,30000,4,1.224951214738504
0,dial-turn-v2,30000,5,1.22727922218959
0,dial-turn-v2,30000,6,1.2067591240456046
0,dial-turn-v2,30000,7,1.2339541420566014
0,dial-turn-v2,30000,8,1.2749764987237306
0,dial-turn-v2,30000,9,1.2285556980963295
0,dial-turn-v2,35000,0,1.411825982835116
0,dial-turn-v2,35000,1,1.4016563738067405
0,dial-turn-v2,35000,2,1.4359605544507243
0,dial-turn-v2,35000,3,1.593808272092298
0,dial-turn-v2,35000,4,1.5131003239423513
0,dial-turn-v2,35000,5,1.4210151767110375
0,dial-turn-v2,35000,6,1.4593958665093718
0,dial-turn-v2,35000,7,1.4102065026331057
0,dial-turn-v2,35000,8,1.5810879798011306
0,dial-turn-v2,35000,9,1.4067331550730617
0,dial-turn-v2,40000,0,1.5936836914531038
0,dial-turn-v2,40000,1,1.601053517720947
0,dial-turn-v2,40000,2,1.616866202148133
0,dial-turn-v2,40000,3,1.6369778710157554
0,dial-turn-v2,40000,4,1.5966701446099973
0,dial-turn-v2,40000,5,1.629191850527221
0,dial-turn-v2,40000,6,1.5978495725684314
0,dial-turn-v2,40000,7,1.6328454416170681
0,dial-turn-v2,40000,8,1.5964927621442975
0,dial-turn-v2,40000,9,1.6055905428248656
0,dial-turn-v2,45000,0,1.841677738156314
0,dial-turn-v2,45000,1,1.847607691428799
0,dial-turn-v2,45000,2,1.8359693327309508
0,dial-turn-v2,45000,3,1.8616155640014065
0,dial-turn-v2,45000,4,1.8611001102940279
0,dial-turn-v2,45000,5,1.8242604037493504
0,dial-turn-v2,45000,6,1.8379351492972684
0,dial-turn-v2,45000,7,1.8690655131073601
0,dial-turn-v2,45000,8,1.8664963561389587
0,dial-turn-v2,45000,9,1.8137084922616782
0,dial-turn-v2,50000,0,2.01432775807554
0,dial-turn-v2,50000,1,1.997692068676247
0,dial-turn-v2,50000,2,2.0129266672459267
0,dial-turn-v2,50000,3,2.013041084578707
0,dial-turn-v2,50000,4,2.0133323519252873
0,dial-turn-v2,50000,5,2.0177156621036763
0,dial-turn-v2,50000,6,2.0152948139500126
0,dial-turn-v2,50000,7,2.072802484055749
0,dial-turn-v2,50000,8,2.06858879162634
0,dial-turn-v2,50000,9,2.0112360696321416
0,dial-turn-v2,55000,0,2.190071438483251
0,dial-turn-v2,55000,1,2.255657888823752
0,dial-turn-v2,55000,2,2.2508447754951852
0,dial-turn-v2,55000,3,2.2484513537936652
0,dial-turn-v2,55000,4,2.225545164669679
0,dial-turn-v2,55000,5,2.2540234786205318
0,dial-turn-v2,55000,6,2.20037399226329
0,dial-turn-v2,55000,7,2.212293756726197
0,dial-turn-v2,55000,8,2.2267587396823862
0,dial-turn-v2,55000,9,2.220410649259039
0,dial-turn-v2,60000,0,2.381496750024552
0,dial-turn-v2,60000,1,2.4092573567258064
0,dial-turn-v2,60000,2,2.3852637216865515
0,dial-turn-v2,60000,3,2.397918930157613
0,dial-turn-v2,60000,4,2.3898617612209954
0,dial-turn-v2,60000,5,2.4023046112102846
0,dial-turn-v2,60000,6,2.3829226990981915
0,dial-turn-v2,60000,7,2.39506150595911
0,dial-turn-v2,60000,8,2.418008757979123
0,dial-turn-v2,60000,9,2.394636051396717
0,dial-turn-v2,65000,0,2.5618381484651285
0,dial-turn-v2,65000,1,2.56369469719633
0,dial-turn-v2,65000,2,2.584339534139607
0,dial-turn-v2,65000,3,2.6725880338760515
0,dial-turn-v2,65000,4,2.627577999329918
0,dial-turn-v2,65000,5,2.571541980769394
0,dial-turn-v2,65000,6,2.5981277292388856
0,dial-turn-v2,65000,7,2.562726104305983
0,dial-turn-v2,65000,8,2.6743287406184675
0,dial-turn-v2,65000,9,2.560668408864102
0,dial-turn-v2,70000,0,2.7390624707905693
0,dial-turn-v2,70000,1,2.746600314071104
0,dial-turn-v2,70000,2,2.763579320502995
0,dial-turn-v2,70000,3,2.7712403453636503
0,dial-turn-v2,70000,4,2.750205129596524
0,dial-turn-v2,70000,5,2.7605906882700326
0,dial-turn-v2,70000,6,2.7450990897576633
0,dial-turn-v2,70000,7,2.7714743932370403
0,dial-turn-v2,70000,8,2.743871973778849
0,dial-turn-v2,70000,9,2.754473062266453
0,dial-turn-v2,75000,0,2.972730912447931
0,dial-turn-v2,75000,1,2.9778648296890275
0,dial-turn-v2,75000,2,2.973833859646081
0,dial-turn-v2,75000,3,2.995496745162897
0,dial-turn-v2,75000,4,2.984260930846866
0,dial-turn-v2,75000,5,2.969429962369966
0,dial-turn-v2,75000,6,2.9768055079025015
0,dial-turn-v2,75000,7,2.991535127362286
0,dial-turn-v2,75000,8,2.9848607097138933
0,dial-turn-v2,75000,9,2.9607127440307313
0,dial-turn-v2,80000,0,3.1491138276877457
0,dial-turn-v2,80000,1,3.140133586779178
0,dial-turn-v2,80000,2,3.1485666206965184
0,dial-turn-v2,80000,3,3.151872692602882
0,dial-turn-v2,80000,4,3.1466158675926432
0,dial-turn-v2,80000,5,3.1531974789767205
0,dial-turn-v2,80000,6,3.1530603300644278
0,dial-turn-v2,80000,7,3.190842833087917
0,dial-turn-v2,80000,8,3.1855475321952014
0,dial-turn-v2,80000,9,3.1507362646063086
0,dial-turn-v2,85000,0,3.3166356641753514
0,dial-turn-v2,85000,1,3.368600837962494
0,dial-turn-v2,85000,2,3.3680188095786234
0,dial-turn-v2,85000,3,3.358503591198907
0,dial-turn-v2,85000,4,3.3389949537830215
0,dial-turn-v2,85000,5,3.364206206821547
0,dial-turn-v2,85000,6,3.3279855415146398
0,dial-turn-v2,85000,7,3.3340063100630766
0,dial-turn-v2,85000,8,3.3470131125828546
0,dial-turn-v2,85000,9,3.343210179025628
0,dial-turn-v2,90000,0,3.4897726618426934
0,dial-turn-v2,90000,1,3.5141194751151392
0,dial-turn-v2,90000,2,3.500861108835156
0,dial-turn-v2,90000,3,3.510514874033971
0,dial-turn-v2,90000,4,3.505221287583358
0,dial-turn-v2,90000,5,3.510530395571049
0,dial-turn-v2,90000,6,3.497716877191813
0,dial-turn-v2,90000,7,3.5053865640459794
0,dial-turn-v2,90000,8,3.519414543499603
0,dial-turn-v2,90000,9,3.5023490178794447
0,dial-turn-v2,95000,0,3.650014956341906
0,dial-turn-v2,95000,1,3.657222709079644
0,dial-turn-v2,95000,2,3.6761003770239666
0,dial-turn-v2,95000,3,3.735564715416288
0,dial-turn-v2,95000,4,3.7044347180893813
0,dial-turn-v2,95000,5,3.6619880149384345
0,dial-turn-v2,95000,6,3.683585359825164
0,dial-turn-v2,95000,7,3.6568355099508163
0,dial-turn-v2,95000,8,3.73950342142048
0,dial-turn-v2,95000,9,3.652022673799699
0,dial-turn-v2,100000,0,3.8391150813456485
0,dial-turn-v2,100000,1,3.843617199434443
0,dial-turn-v2,100000,2,3.8634787033443967
0,dial-turn-v2,100000,3,3.8658744531446816
0,dial-turn-v2,100000,4,3.849222251252266
0,dial-turn-v2,100000,5,3.853203022112913
0,dial-turn-v2,100000,6,3.8380886842717405
0,dial-turn-v2,100000,7,3.8616306721531024
0,dial-turn-v2,100000,8,3.842338483344559
0,dial-turn-v2,100000,9,3.850879177128511
0,door-unlock-v2,0,0,0.07948181542358172
0,door-unlock-v2,0,1,0.07947659944860558
0,door-unlock-v2,0,2,0.07947669960411688
0,door-unlock-v2,0,3,0.07950111666547034
0,door-unlock-v2,0,4,0.0794766515788573
0,door-unlock-v2,0,5,0.07947659960414777
0,door-unlock-v2,0,6,0.07947659948032719
0,door-unlock-v2,0,7,0.07947667097710562
0,door-unlock-v2,0,8,0.07947659940900909
0,door-unlock-v2,0,9,0.07947695696267519
0,door-unlock-v2,5000,0,0.23095574030724086
0,door-unlock-v2,5000,1,0.22999641431177295
0,door-unlock-v2,5000,2,0.23038956498393515
0,door-unlock-v2,5000,3,0.23054995757377458
0,door-unlock-v2,5000,4,0.23063242249686575
0,door-unlock-v2,5000,5,0.23066580016688965
0,door-unlock-v2,5000,6,0.23025175575314913
0,door-unlock-v2,5000,7,0.2307226155352352
0,door-unlock-v2,5000,8,0.23106419710921666
0,door-unlock-v2,5000,9,0.23058693324321825
0,door-unlock-v2,10000,0,0.42671977886824486
0,door-unlock-v2,10000,1,0.42482356852512415
0,door-unlock-v2,10000,2,0.4262175585050766
0,door-unlock-v2,10000,3,0.42628392114655156
0,door-unlock-v2,10000,4,0.42584405197384284
0,door-unlock-v2,10000,5,0.4259827746132246
0,door-unlock-v2,10000,6,0.4249203033662305
0,door-unlock-v2,10000,7,0.4262719117346161
0,door-unlock-v2,10000,8,0.4271043223870854
0,door-unlock-v2,10000,9,0.42568030310265337
0,door-unlock-v2,15000,0,0.6092753789315053
0,door-unlock-v2,15000,1,0.6086267348858667
0,door-unlock-v2,15000,2,0.6097668021807188
0,door-unlock-v2,15000,3,0.609914580761861
0,door-unlock-v2,15000,4,0.6096407246683807
0,door-unlock-v2,15000,5,0.6104097229471034
0,door-unlock-v2,15000,6,0.6084863647691655
0,door-unlock-v2,15000,7,0.6095541308159811
0,door-unlock-v2,15000,8,0.6103082377596952
0,door-unlock-v2,15000,9,0.6098794988011242
0,door-unlock-v2,20000,0,0.8081781526500529
0,door-unlock-v2,20000,1,0.8077129816194077
0,door-unlock-v2,20000,2,0.8091024030618486
0,door-unlock-v2,20000,3,0.808281418159445
0,door-unlock-v2,20000,4,0.8088211976367768
0,door-unlock-v2,20000,5,0.8086494571916357
0,door-unlock-v2,20000,6,0.8067285273575231
0,door-unlock-v2,20000,7,0.8080192537609501
0,door-unlock-v2,20000,8,0.8088731118605839
0,door-unlock-v2,20000,9,0.8082791373234653
0,door-unlock-v2,25000,0,1.0069449237354213
0,door-unlock-v2,25000,1,1.0052674020406134
0,door-unlock-v2,25000,2,1.0073958795177558
0,door-unlock-v2,25000,3,1.0073905254631192
0,door-unlock-v2,25000,4,1.00730165157499
0,door-unlock-v2,25000,5,1.0068494546586693
0,door-unlock-v2,25000,6,1.0042222571675397
0,door-unlock-v2,25000,7,1.006491365466128
0,door-unlock-v2,25000,8,1.00652944359219
0,door-unlock-v2,25000,9,1.0062031634257658
0,door-unlock-v2,30000,0,1.2144278130072292
0,door-unlock-v2,30000,1,1.213707476300584
0,door-unlock-v2,30000,2,1.2149037096336017
0,door-unlock-v2,30000,3,1.2140723716210633
0,door-unlock-v2,30000,4,1.2143341787195092
0,door-unlock-v2,30000,5,1.2159024786800476
0,door-unlock-v2,30000,6,1.2115509209895459
0,door-unlock-v2,30000,7,1.2137071600807785
0,door-unlock-v2,30000,8,1.2150436838520602
0,door-unlock-v2,30000,9,1.2123902362807462
0,door-unlock-v2,35000,0,1.4005250961145779
0,door-unlock-v2,35000,1,1.3988663618955324
0,door-unlock-v2,35000,2,1.4016529806356022
0,door-unlock-v2,35000,3,1.4024124356642031
0,door-unlock-v2,35000,4,1.4027079628966257
0,door-unlock-v2,35000,5,1.4038831661270448
0,door-unlock-v2,35000,6,1.3982110597329895
0,door-unlock-v2,35000,7,1.4010899765299707
0,door-unlock-v2,35000,8,1.4034320820719295
0,door-unlock-v2,35000,9,1.4000897513597008
0,door-unlock-v2,40000,0,1.6031414577131626
0,door-unlock-v2,40000,1,1.6039857341346702
0,door-unlock-v2,40000,2,1.6033244899464318
0,door-unlock-v2,40000,3,1.6021632234727372
0,door-unlock-v2,40000,4,1.6012069631842305
0,door-unlock-v2,40000,5,1.6044987527360428
0,door-unlock-v2,40000,6,1.5992828626072895
0,door-unlock-v2,40000,7,1.5978115448170993
0,door-unlock-v2,40000,8,1.6012440663038185
0,door-unlock-v2,40000,9,1.601612169335483
0,door-unlock-v2,45000,0,1.7948001388316974
0,door-unlock-v2,45000,1,1.7941090147609566
0,door-unlock-v2,45000,2,1.7962650826619335
0,door-unlock-v2,45000,3,1.7976356944042933
0,door-unlock-v2,45000,4,1.7932540886386719
0,door-unlock-v2,45000,5,1.7996957646441925
0,door-unlock-v2,45000,6,1.7939687294586926
0,door-unlock-v2,45000,7,1.7942153634293518
0,door-unlock-v2,45000,8,1.7978863114740844
0,door-unlock-v2,45000,9,1.7938625352592703
0,door-unlock-v2,50000,0,2.0076175074075446
0,door-unlock-v2,50000,1,2.0036632643140684
0,door-unlock-v2,50000,2,2.01123140047802
0,door-unlock-v2,50000,3,2.007505607835317
0,door-unlock-v2,50000,4,2.011117506033067
0,door-unlock-v2,50000,5,2.008181463771488
0,door-unlock-v2,50000,6,2.007101004570017
0,door-unlock-v2,50000,7,2.006640607089235
